,day,month,year,hour,ct,wd,ws,hc,ccp,cco,p,temp,dpTemp,vis,pw,relh
count,8758.0,8758.0,8758.0,8758.0,0.0,8399.0,8758.0,6733.0,6726.0,6726.0,8758.0,8758.0,8758.0,0.0,8758.0,8758.0
mean,15.718885590317424,6.526033340945421,2023.0,11.500913450559489,,225.16309481287453,3.746500987988125,1309.2664458636566,4.900337000693825,4.658174744771533,1009.6549976141713,22.027059069802846,18.59098348176905,,0.0,82.24404289411586
std,8.796857902427746,3.447771197490638,0.0,6.922906130375064,,107.29879170906536,2.0271964030373333,773.5459037405974,2.480538818780643,2.4140571638927533,0.019193388244410813,4.018441731474935,4.114524933658108,,0.0,14.438456505252763
min,1.0,1.0,2023.0,0.0,,0.0,0.0,45.72,1.0,1.0,1009.5913497690512,9.000000000000002,0.0,,0.0,24.59
25%,8.0,4.0,2023.0,6.0,,140.0,2.057776,762.0,3.0,3.0,1009.6404605895476,19.0,15.999999999999998,,0.0,72.38
50%,16.0,7.0,2023.0,12.0,,225.0,3.601108,1066.8,6.0,6.0,1009.6548348541656,22.0,19.0,,0.0,83.44
75%,23.0,10.0,2023.0,17.75,,330.0,5.14444,1524.0,6.0,6.0,1009.6692092844928,25.0,22.0,,0.0,94.06
max,31.0,12.0,2023.0,23.0,,360.0,18.519984,3048.0,8.0,8.0,1009.8632803134626,35.0,27.0,,0.0,100.0
